zip3,BlackConcentration,weight,direction,SES_group
378,Low,1.1292415093133952,BlackConcentration (entropy-balanced on 7 SES covariates),
385,Low,0.729556073319533,BlackConcentration (entropy-balanced on 7 SES covariates),
407,Low,1.3877491415120617,BlackConcentration (entropy-balanced on 7 SES covariates),
408,Low,0.40577198992053565,BlackConcentration (entropy-balanced on 7 SES covariates),
411,Low,0.885442262598153,BlackConcentration (entropy-balanced on 7 SES covariates),
412,Low,0.48983486214978084,BlackConcentration (entropy-balanced on 7 SES covariates),
413,Low,0.5405761152514945,BlackConcentration (entropy-balanced on 7 SES covariates),
414,Low,0.718513422967015,BlackConcentration (entropy-balanced on 7 SES covariates),
415,Low,0.488903419014514,BlackConcentration (entropy-balanced on 7 SES covariates),
416,Low,0.503609814221251,BlackConcentration (entropy-balanced on 7 SES covariates),
417,Low,0.6660625190647897,BlackConcentration (entropy-balanced on 7 SES covariates),
418,Low,0.4701581093589131,BlackConcentration (entropy-balanced on 7 SES covariates),
425,Low,0.4486524928096523,BlackConcentration (entropy-balanced on 7 SES covariates),
435,Low,1.1726036754043196,BlackConcentration (entropy-balanced on 7 SES covariates),
438,Low,0.7094188902641486,BlackConcentration (entropy-balanced on 7 SES covariates),
446,Low,0.6234366993696304,BlackConcentration (entropy-balanced on 7 SES covariates),
451,Low,1.0482258595164249,BlackConcentration (entropy-balanced on 7 SES covariates),
457,Low,1.3925829287861322,BlackConcentration (entropy-balanced on 7 SES covariates),
461,Low,0.5292851591655471,BlackConcentration (entropy-balanced on 7 SES covariates),
467,Low,0.8169482390465004,BlackConcentration (entropy-balanced on 7 SES covariates),
470,Low,0.5843424966385851,BlackConcentration (entropy-balanced on 7 SES covariates),
472,Low,1.0679278872312714,BlackConcentration (entropy-balanced on 7 SES covariates),
474,Low,1.081545798621259,BlackConcentration (entropy-balanced on 7 SES covariates),
475,Low,0.24370964879629795,BlackConcentration (entropy-balanced on 7 SES covariates),
476,Low,0.3144393818471873,BlackConcentration (entropy-balanced on 7 SES covariates),
487,Low,2.1706504270552407,BlackConcentration (entropy-balanced on 7 SES covariates),
493,Low,0.8182930550160554,BlackConcentration (entropy-balanced on 7 SES covariates),
496,Low,1.6630227728543623,BlackConcentration (entropy-balanced on 7 SES covariates),
497,Low,2.691295261981056,BlackConcentration (entropy-balanced on 7 SES covariates),
498,Low,1.0969729706129596,BlackConcentration (entropy-balanced on 7 SES covariates),
502,Low,0.3493284827383414,BlackConcentration (entropy-balanced on 7 SES covariates),
527,Low,0.313532493937474,BlackConcentration (entropy-balanced on 7 SES covariates),
530,Low,0.4366842256172741,BlackConcentration (entropy-balanced on 7 SES covariates),
535,Low,0.5257795283951051,BlackConcentration (entropy-balanced on 7 SES covariates),
538,Low,0.1708315729595302,BlackConcentration (entropy-balanced on 7 SES covariates),
539,Low,0.5085824728007496,BlackConcentration (entropy-balanced on 7 SES covariates),
540,Low,0.42619633278269176,BlackConcentration (entropy-balanced on 7 SES covariates),
541,Low,0.4265695799265415,BlackConcentration (entropy-balanced on 7 SES covariates),
542,Low,0.5169006339241865,BlackConcentration (entropy-balanced on 7 SES covariates),
544,Low,0.5687423493245527,BlackConcentration (entropy-balanced on 7 SES covariates),
545,Low,0.4189296325375448,BlackConcentration (entropy-balanced on 7 SES covariates),
